Kind,Name,AvgCyclomatic,CountLineCode,CountLine
Unnamed Function,"Wicket.TreeTable.attachUpdate.(unnamed_function_1)",,1,1
Function,"Wicket.TreeTable.update",,32,55
Function,"Wicket.WUPB.Def",,6,6
Function,"Wicket.WUPB.ajax",,31,33
Function,"Wicket.WUPB.get",,3,3
Function,"Wicket.WUPB.start",,8,10
Unnamed Function,"Wicket.WUPB.start.(unnamed_function_1)",,1,1
Function,"Wicket.WUPB.update",,31,44
Unnamed Function,"Wicket.WUPB.update.(unnamed_function_2)",,1,1
Function,"Wicket.Window.Mask.prototype.disableFocus",,9,11
Function,"Wicket.Window.Mask.prototype.disableFocusElement",,11,14
Function,"Wicket.Window.Mask.prototype.disableTabs",,18,21
Function,"Wicket.Window.Mask.prototype.enableFocus",,9,9
Function,"Wicket.Window.Mask.prototype.hide",,13,27
Function,"Wicket.Window.Mask.prototype.hideSelectBoxes",,17,22
Function,"Wicket.Window.Mask.prototype.initialize",,3,3
Function,"Wicket.Window.Mask.prototype.isParent",,8,8
Function,"Wicket.Window.Mask.prototype.onScrollResize",,16,22
Function,"Wicket.Window.Mask.prototype.restoreTabs",,14,14
Function,"Wicket.Window.Mask.prototype.show",,41,72
Function,"Wicket.Window.Mask.prototype.showSelectBoxes",,9,9
Function,"Wicket.Window.close",,12,15
Unnamed Function,"Wicket.Window.close.(unnamed_function_2)",,3,3
Function,"Wicket.Window.create",,13,20
Function,"Wicket.Window.get",,13,14
Function,"Wicket.Window.getMarkup",,51,68
Function,"Wicket.Window.getScrollX",,4,4
Function,"Wicket.Window.getScrollY",,4,4
Function,"Wicket.Window.getViewportHeight",,9,12
Function,"Wicket.Window.getViewportWidth",,9,12
Function,"Wicket.Window.prototype.bind",,3,3
Function,"Wicket.Window.prototype.bindClean",,12,13
Function,"Wicket.Window.prototype.bindInit",,23,25
Function,"Wicket.Window.prototype.canClose",,3,3
Function,"Wicket.Window.prototype.canCloseInternal",,13,13
Function,"Wicket.Window.prototype.center",,16,21
Function,"Wicket.Window.prototype.clipSize",,17,20
Function,"Wicket.Window.prototype.close",,40,70
Function,"Wicket.Window.prototype.createDOM",,51,63
Function,"Wicket.Window.prototype.createDOM._",,1,1
Function,"Wicket.Window.prototype.createMask",,9,10
Function,"Wicket.Window.prototype.destroy",,3,3
Function,"Wicket.Window.prototype.destroyMask",,4,4
